"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"382","Matthew Liberatore",STL,"SP115","327","327","327.0","0.0","+68"
"383","Ryan Jeffers",MIN,"C26","339","339","339.0","0.0","-107"
"384","Matt Wallner",MIN,"OF75","342","342","342.0","0.0","-61"
"385","Michael McGreevy",STL,"SP116","346","346","346.0","0.0","+79"
"386","Ronny Henriquez",MIA,"RP39","355","355","355.0","0.0","-49"
"387","Landen Roupp",SF,"SP117","361","361","361.0","0.0","+51"
"388","Gavin Sheets",SD,"1B30","370","370","370.0","0.0","-22"
"389","Bo Naylor",CLE,"C27","379","379","379.0","0.0","-70"
"390","Victor Scott",STL,"OF76","381","381","381.0","0.0","-54"
"391","Victor Robles",SEA,"OF77","382","382","382.0","0.0","-64"
"392","Victor Vodnik",COL,"RP40","383","383","383.0","0.0","-27"
"393","Jesus Sanchez",HOU,"OF78","384","384","384.0","0.0","-53"
"394","Zach McKinstry",DET,"3B23","385","385","385.0","0.0","-51"
"395","Connor Norby",MIA,"3B24","386","386","386.0","0.0","-45"
"396","Freddy Fermin",SD,"C28","387","387","387.0","0.0","-28"
"397","Luke Weaver",NYM,"RP41","388","388","388.0","0.0","+20"
"398","Dustin May",STL,"SP118","389","389","389.0","0.0","+67"
"399","Mike Yastrzemski",ATL,"OF79","390","390","390.0","0.0","+28"
"400","Luis Gil",NYY,"SP119","391","391","391.0","0.0","-118"
"401","Camilo Doval",NYY,"RP42","392","392","392.0","0.0","+55"
"402","Jorge Soler",LAA,"OF80","393","393","393.0","0.0","-1"
"403","Moises Ballesteros",CHC,"C29","394","394","394.0","0.0","-18"
"404","Dean Kremer",BAL,"SP120","395","395","395.0","0.0","+26"
"405","Sung-Mun Song",SD,"2B30","396","396","396.0","0.0","+104"
"406","Nolan Arenado",ARI,"3B25","397","397","397.0","0.0","+3"
"407","Max Meyer",MIA,"SP121","398","398","398.0","0.0","+30"
"408","Andrew Benintendi",CWS,"OF81","399","399","399.0","0.0","-2"
"409","Kristian Campbell",BOS,"2B31","400","400","400.0","0.0","-23"
"410","Slade Cecconi",CLE,"SP122","401","401","401.0","0.0","+16"
